-178, -518, 1079
-283, -334, 1108
-328, -188, 1196
-317, -222, 1273
-257, -253, 1188
-167, -187, 1004
41, -5, 918
328, 209, 981
580, 239, 940
398, 162, 921
398, 162, 921
362, 59, 1028
429, -33, 828
522, 58, 805
479, -13, 810
549, -104, 927
549, -104, 927
520, -145, 895
414, -198, 866
425, -178, 934
559, -252, 1011
646, -240, 1059
579, -238, 991
551, -177, 985
464, -169, 937
375, -122, 952
375, -122, 952
363, -59, 969
223, 5, 1007
128, 112, 1032
31, 176, 997
-59, 169, 990
-59, 169, 990
-126, 203, 985
-137, 255, 1008
-105, 337, 998
-137, 403, 1008
-185, 408, 989
-188, 348, 987
-,-,-
18, -171, 1052
70, -182, 1013
82, -173, 1012
164, -156, 984
164, -156, 984
183, -176, 1059
235, -209, 1018
313, -240, 1081
357, -206, 1178
576, -182, 994
514, -207, 798
475, -209, 881
483, -173, 1062
404, -185, 1021
291, -233, 868
289, -225, 871
289, -225, 871
353, -136, 985
299, -127, 968
155, -223, 820
-42, -222, 895
-2, -97, 981
54, -76, 1113
-27, -69, 1156
-27, -69, 1156
-151, -63, 979
-227, -4, 955
-224, 78, 950
-298, 118, 1110
-450, 226, 1100
-475, 371, 1085
-378, 538, 1036
-303, 616, 1041
-249, 530, 1127
-201, 433, 1161
-201, 433, 1056
-165, 448, 1056
-117, 380, 970
-7, 249, 878
-120, 88, 1041
-198, -9, 1035
-211, -95, 960
-203, -202, 917
-65, -241, 876
136, -271, 1116
246, -303, 1007
246, -303, 1007
182, -441, 866
64, -594, 949
124, -606, 1008
157, -503, 987
136, -454, 1001
75, -478, 986
17, -417, 974
9, -332, 963
9, -332, 963
-95, -427, 1069
-163, -471, 1149
-172, -414, 1185
-278, -349, 1127
-446, -307, 1102
-495, -271, 1115
-478, -254, 1214
-439, -174, 1225
-374, -92, 1205
-179, -29, 1086
-69, 50, 1046
-46, 36, 996
-45, -9, 806
-45, -9, 806
-72, -161, 873
196, -222, 1090
412, -92, 797
463, -23, 796
415, -81, 863
415, -81, 863
364, -183, 899
500, -201, 915
567, -216, 1004
413, -251, 994
201, -391, 955
73, -536, 1115
117, -635, 1259
207, -730, 1174
293, -714, 1014
222, -579, 987
222, -579, 987
159, -488, 1040
174, -426, 1060
176, -328, 1061
189, -204, 1058
182, -37, 1177
141, 136, 1061
63, 253, 921
67, 327, 960
67, 327, 960
-,-,-
47, -258, 947
36, -201, 981
124, -220, 1013
124, -220, 1013
219, -263, 1019
291, -426, 947
421, -582, 969
584, -731, 1080
616, -765, 1179
614, -712, 1104
596, -688, 962
572, -671, 863
553, -668, 894
257, -576, 884
-43, -379, 890
-43, -379, 890
-135, -192, 837
-64, -47, 874
-81, 89, 977
-113, 142, 1034
-256, 166, 1017
-272, 273, 1037
-182, 424, 1039
-64, 429, 1100
124, 381, 1128
124, 381, 1128
293, 340, 1101
430, 210, 1087
524, 118, 971
576, 174, 971
574, 226, 964
566, 280, 947
566, 280, 947
497, 312, 930
472, 282, 960
359, 190, 963
306, 158, 995
261, -17, 995
261, -17, 995
98, -200, 1046
-98, -389, 1101
-373, -484, 1053
-504, -539, 1075
-507, -577, 1056
-543, -607, 1060
-622, -617, 1040
-720, -544, 999
-664, -454, 1000
-401, -336, 1041
-276, -241, 1038
-304, -148, 1032
-537, -66, 1056
-518, 2, 1141
-278, -38, 1142
-70, 31, 1162
-69, 31, 1186
-69, 31, 1186
-254, -58, 1080
-102, -27, 1136
27, -111, 1091
95, -138, 983
77, -195, 908
162, -216, 978
328, -320, 984
328, -320, 914
346, -473, 914
213, -490, 853
116, -456, 776
129, -499, 771
224, -588, 899
237, -572, 907
189, -510, 980
111, -464, 954
45, -465, 917
45, -465, 917
68, -499, 923
56, -542, 995
-18, -588, 1129
-183, -606, 1127
-217, -568, 1005
-237, -578, 965
-288, -616, 1061
-329, -586, 1174
-222, -532, 1140
-27, -430, 1027
125, -301, 1018
146, -221, 1107
152, -149, 1114
287, -29, 969
287, -29, 969
540, 86, 888
570, 140, 950
402, 167, 961
336, 173, 931
336, 173, 931
357, 196, 933
376, 159, 931
-,-,-
65, -197, 974
59, -170, 956
-35, -214, 999
-46, -266, 960
20, -367, 945
36, -560, 920
36, -560, 920
6, -815, 954
-122, -981, 1118
-158, -1112, 1152
74, -1185, 1043
254, -1101, 774
31, -839, 810
-152, -650, 972
-301, -367, 945
-155, -128, 809
-64, 158, 897
-64, 158, 897
69, 308, 1000
204, 355, 1089
152, 371, 1071
165, 380, 1015
182, 301, 1041
203, 219, 1116
325, 81, 1167
325, 81, 1167
351, 67, 1066
491, 26, 979
581, -15, 964
544, -81, 952
562, -87, 886
562, -87, 886
795, -78, 926
936, -131, 965
784, -170, 987
623, -173, 1006
588, -119, 965
454, -157, 958
269, -209, 971
269, -209, 971
38, -218, 1104
-52, -123, 1089
-101, -107, 1141
-266, -106, 1089
-389, -130, 1051
-454, -93, 1061
-494, -78, 1084
-514, -83, 1103
-506, -67, 1060
-444, 3, 1072
-306, 154, 1089
-185, 248, 1129
-116, 263, 1136
-118, 241, 1047
-43, 239, 1076
-43, 239, 1076
70, 299, 1171
64, 284, 1198
94, 83, 1121
75, -101, 985
-21, -244, 1030
-11, -276, 977
-11, -276, 977
14, -381, 966
-54, -558, 791
-81, -670, 728
-187, -665, 797
-249, -727, 872
-215, -734, 908
-202, -667, 952
-221, -585, 938
-223, -472, 854
-311, -418, 873
-359, -467, 916
-408, -429, 955
-408, -429, 955
-442, -377, 1011
-505, -331, 1027
-546, -332, 1041
-570, -393, 1070
-468, -410, 1060
-251, -402, 1066
-101, -419, 1036
69, -413, 990
270, -407, 989
320, -387, 990
383, -337, 943
492, -272, 946
541, -276, 1048
579, -291, 1043
640, -280, 1005
586, -259, 994
473, -226, 982
473, -226, 982
367, -195, 948
355, -198, 978
-,-,-
-43, -246, 933
-91, -271, 970
-91, -271, 970
-185, -279, 963
-121, -427, 983
-253, -417, 988
-508, -526, 965
-693, -680, 1083
-746, -795, 1082
-654, -756, 833
-570, -751, 715
-477, -767, 929
-417, -503, 851
-188, -89, 752
-134, 90, 916
-69, -18, 1035
-69, -18, 1035
168, -45, 999
460, 95, 1027
